,arrest_key,arrest_date,pd_desc,ofns_desc,law_code,law_cat_cd,age_group,perp_sex,perp_race,latitude,longitude,arrest_boro,arrest_precinct,jurisdiction_code
14534,191979123,2019-01-07,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601504,F,25-44,M,BLACK,40.810398494000026,-73.92489531099994,B,40,0.0
14540,191828004,2019-01-03,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601502,F,18-24,M,BLACK,40.70744736400008,-73.79214176799996,Q,103,0.0
14573,198395604,2019-06-12,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601504,F,<18,M,BLACK,40.82547196300004,-73.89294073699995,B,41,0.0
14583,191778783,2019-01-02,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601502,F,<18,F,BLACK,40.64237987400003,-73.88957350399994,K,69,0.0
14633,195718042,2019-04-08,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,BLACK,40.78934789300007,-73.94735241299998,M,23,0.0
14684,196951489,2019-05-08,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,F,BLACK,40.80610880600005,-73.93942843299999,M,25,0.0
14713,202836393,2019-09-24,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,45-64,M,BLACK,40.68874336800008,-73.94498708099997,K,79,0.0
14737,204483675,2019-11-06,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601504,F,18-24,M,BLACK,40.815929553000046,-73.94516735699995,M,32,0.0
14741,192412528,2019-01-17,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601502,F,18-24,M,BLACK HISPANIC,40.68004872600005,-73.77590919399995,Q,113,0.0
14788,191751264,2019-01-02,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,<18,M,WHITE HISPANIC,40.69843969400006,-73.83112953899996,Q,102,0.0
14799,194153303,2019-03-01,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102A,F,<18,M,BLACK,40.70629036500003,-73.95035033099998,K,90,0.0
14813,192969099,2019-01-30,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160101H,F,18-24,M,BLACK,40.66416202000005,-73.94681681999998,K,71,0.0
14866,193618015,2019-02-14,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102A,F,<18,M,BLACK,40.83406831000008,-73.94294803999998,M,33,0.0
14888,193051557,2019-02-01,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,45-64,M,BLACK,40.81698058400008,-73.92115225499998,B,40,0.0
14905,199831044,2019-07-16,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,WHITE HISPANIC,40.80613657000004,-73.96737602999997,M,26,0.0
14948,193727736,2019-02-18,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601504,F,18-24,M,BLACK,40.64502274600005,-74.07721684699999,S,120,0.0
14990,204015250,2019-10-21,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102A,F,18-24,M,BLACK,40.64502274600005,-74.07721684699999,S,120,0.0
14996,195690963,2019-04-07,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,18-24,M,BLACK,40.67430429500007,-73.78919156299997,Q,113,0.0
14997,202794808,2019-09-23,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,25-44,M,WHITE,40.73708228400005,-73.98296229999994,M,13,0.0
15048,192425327,2019-01-17,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102B,F,<18,M,BLACK HISPANIC,40.70629036500003,-73.95035033099998,K,90,0.0
15076,194169869,2019-03-01,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,<18,M,BLACK HISPANIC,40.72906475000008,-73.81102013199995,Q,107,0.0
15103,192291841,2019-01-14,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,18-24,M,BLACK,40.80518200900008,-73.91863049999995,B,40,2.0
15126,193666113,2019-02-16,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,WHITE HISPANIC,40.85176820800007,-73.91136583199994,B,46,0.0
15129,193874977,2019-02-22,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,25-44,M,WHITE HISPANIC,40.82547196300004,-73.89294073699995,B,41,0.0
15253,194793757,2019-03-17,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,WHITE HISPANIC,40.86829117100007,-73.90106471099995,B,52,0.0
15265,191790867,2019-01-03,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102A,F,<18,M,BLACK HISPANIC,40.70197080700007,-73.90380366899996,Q,104,0.0
15272,197243305,2019-05-15,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,25-44,M,ASIAN / PACIFIC ISLANDER,40.83342265700003,-73.85905684099998,B,43,0.0
15281,192707752,2019-01-24,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,F,WHITE,40.71949219600003,-73.99315078999996,M,5,0.0
15292,199449141,2019-07-08,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601502,F,18-24,M,BLACK,40.73241152000003,-74.01019823999997,M,6,0.0
15386,192463532,2019-01-18,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,BLACK,40.67141166300007,-73.88151172399995,K,75,0.0
15401,200226580,2019-07-25,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,<18,M,BLACK,40.88733281800006,-73.84725001299995,B,47,0.0
15411,203276805,2019-10-04,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,25-44,M,WHITE HISPANIC,40.69833089400004,-73.91749507299994,K,83,0.0
15462,196510506,2019-04-27,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,<18,M,BLACK,40.88731363400007,-73.84727175799998,B,47,0.0
15469,193061078,2019-02-01,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102B,F,<18,M,BLACK,40.68280824200008,-73.78215191799995,Q,113,0.0
15488,197716754,2019-05-28,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102A,F,<18,M,BLACK,40.73388303300004,-74.00542831099995,M,6,0.0
15506,192109155,2019-01-09,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,<18,M,BLACK,40.82690639400005,-73.93590095599995,M,32,2.0
15514,196063027,2019-04-16,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,F,BLACK,40.83778161800007,-73.91945797099999,B,44,0.0
15525,201731855,2019-08-29,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102A,F,25-44,M,BLACK,40.60274595100003,-73.75007786499998,Q,101,0.0
15532,204463856,2019-11-04,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,45-64,M,BLACK,40.70744736400008,-73.79214176799996,Q,103,0.0
15534,200588641,2019-08-02,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,BLACK,40.67141166300007,-73.88151172399995,K,75,0.0
15547,200324677,2019-07-27,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,18-24,M,BLACK,40.81485289400007,-73.95631335299998,M,26,0.0
15557,196469665,2019-04-26,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601504,F,25-44,M,BLACK,40.84413994500005,-73.90038861799997,B,48,0.0
15566,195640849,2019-04-06,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102A,F,25-44,M,WHITE HISPANIC,40.87263176900007,-73.87669125099995,B,52,0.0
15616,192938604,2019-01-30,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,<18,M,WHITE HISPANIC,40.762043893000055,-73.82732958099996,Q,109,0.0
15625,205004587,2019-11-11,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601503,F,25-44,M,BLACK,40.67984475500003,-73.93439825799999,K,81,0.0
15651,199167940,2019-07-01,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,18-24,M,BLACK,40.84697261300005,-73.90377470599998,B,46,0.0
15662,192150947,2019-01-09,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102A,F,25-44,M,BLACK,40.88686091100004,-73.86268310799994,B,47,0.0
15699,199737555,2019-07-14,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,18-24,M,BLACK,40.72046384000004,-74.00685220399998,M,1,0.0
15733,191831636,2019-01-03,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,WHITE HISPANIC,40.85358740100003,-73.90059135599995,B,46,0.0
15780,197539939,2019-05-23,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601503,F,25-44,M,ASIAN / PACIFIC ISLANDER,40.762043893000055,-73.82732958099996,Q,109,0.0
15801,192623920,2019-01-22,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,45-64,F,BLACK,40.726293088000034,-73.73476084899994,Q,105,0.0
15806,192616498,2019-01-22,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,<18,M,BLACK,40.84227324600005,-73.87224065199996,B,48,0.0
15818,197943529,2019-06-02,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,18-24,M,WHITE HISPANIC,40.825291812000046,-73.91754000199995,B,44,0.0
15822,191945986,2019-01-06,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,BLACK,40.60274595100003,-73.75007786499998,Q,101,0.0
15829,204875782,2019-11-08,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,<18,M,BLACK,40.74283378800004,-73.99842802399996,M,10,0.0
15831,193205922,2019-02-05,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,F,BLACK,40.76039613900008,-73.76750253499995,Q,111,0.0
15906,191790861,2019-01-03,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601002,F,18-24,M,BLACK,40.68270984500003,-73.92900879499996,K,81,0.0
15911,192700165,2019-01-24,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,BLACK,40.82867545800008,-73.94398971599998,M,30,0.0
15927,198340573,2019-06-11,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,18-24,M,BLACK,40.74296235400004,-73.95527424799997,Q,108,0.0
15932,199601090,2019-07-11,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,BLACK,40.83778161800007,-73.91945797099999,B,44,0.0
15939,192131656,2019-01-10,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,<18,M,BLACK,40.81595937700007,-73.95727361499996,M,26,0.0
15965,192626638,2019-01-23,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,BLACK,40.80855767700007,-73.95235475399994,M,28,0.0
15982,193114609,2019-02-03,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,BLACK,40.82522502300003,-73.91626822399996,B,42,0.0
15992,193261055,2019-02-06,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,45-64,M,BLACK,40.69624323500005,-73.94175690599997,K,79,97.0
16050,192962631,2019-01-30,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,<18,M,WHITE HISPANIC,40.810398494000026,-73.92489531099994,B,40,0.0
16063,203090397,2019-10-01,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,25-44,F,BLACK,40.64502274600005,-74.07721684699999,S,120,0.0
16080,192993178,2019-01-31,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,18-24,M,WHITE HISPANIC,40.69833089400004,-73.91749507299994,K,83,0.0
16084,192710454,2019-01-24,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601502,F,25-44,M,BLACK,40.762043893000055,-73.82732958099996,Q,109,0.0
16086,191727072,2019-01-01,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102A,F,45-64,M,BLACK,40.76004854100006,-73.99146088999998,M,18,3.0
16108,193294294,2019-02-07,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102A,F,25-44,M,BLACK HISPANIC,40.60274595100003,-73.75007786499998,Q,101,0.0
16135,197263553,2019-05-16,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,25-44,M,BLACK,40.68555881800006,-73.78376909399998,Q,113,0.0
16200,198694299,2019-06-19,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,25-44,M,WHITE HISPANIC,40.76367597700005,-73.82302594999999,Q,109,0.0
16250,195277293,2019-03-28,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601504,F,18-24,M,WHITE HISPANIC,40.762043893000055,-73.82732958099996,Q,109,0.0
16265,192437091,2019-01-17,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102A,F,<18,M,BLACK,40.58862829600002,-73.98372385799996,K,60,1.0
16284,192671036,2019-01-23,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,25-44,M,BLACK,40.78934789300007,-73.94735241299998,M,23,0.0
16307,193085531,2019-02-02,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102A,F,25-44,M,WHITE,40.74918796600008,-73.87947138699997,Q,115,0.0
16313,193415561,2019-02-10,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102A,F,45-64,M,BLACK,40.820869155000025,-73.91257037399998,B,40,0.0
16318,191728905,2019-01-01,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,45-64,M,BLACK,40.75684282800006,-73.99379305699995,M,10,3.0
16322,192890917,2019-01-29,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601502,F,18-24,M,BLACK,40.71241149700006,-73.82621729999994,Q,102,0.0
16326,193061269,2019-02-02,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601501,F,18-24,M,BLACK HISPANIC,40.62572501600005,-73.99104937999994,K,66,0.0
16374,193143258,2019-02-04,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,18-24,M,BLACK,40.82867545800008,-73.94398971599998,M,30,0.0
16398,197133641,2019-05-13,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,<18,M,BLACK,40.67141166300007,-73.88151172399995,K,75,0.0
16425,191717193,2019-01-01,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601503,F,18-24,M,BLACK,40.79512950600008,-73.96496525899994,M,24,0.0
16480,193188778,2019-02-05,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,WHITE HISPANIC,40.84413994500005,-73.90038861799997,B,48,0.0
16486,203559221,2019-10-10,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,18-24,M,WHITE HISPANIC,40.88733281800006,-73.84725001299995,B,47,0.0
16492,203246548,2019-10-03,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,<18,M,BLACK,40.62572501600005,-73.99104937999994,K,66,0.0
16514,191982039,2019-01-07,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,WHITE HISPANIC,40.810398494000026,-73.92489531099994,B,40,0.0
16553,195128116,2019-03-25,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601504,F,25-44,M,BLACK,40.70629036500003,-73.95035033099998,K,90,0.0
16630,191748731,2019-01-02,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102A,F,25-44,M,BLACK HISPANIC,40.85111163600004,-73.93525591199995,M,34,0.0
16662,193260696,2019-02-06,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601503,F,25-44,F,WHITE,40.75346407600006,-73.99439974299997,M,14,0.0
16683,199758173,2019-07-15,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601503,F,<18,M,WHITE HISPANIC,40.64075491800003,-74.07674708799993,S,120,9.0
16700,197270445,2019-05-16,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102A,F,45-64,M,BLACK,40.82522129300003,-73.90778072399996,B,42,0.0
16739,202939291,2019-09-26,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,<18,M,BLACK,40.73207216000003,-73.81386929299998,Q,107,0.0
16807,195413866,2019-04-01,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,18-24,M,BLACK,40.726293088000034,-73.73476084899994,Q,105,0.0
16872,195620911,2019-04-05,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,18-24,M,ASIAN / PACIFIC ISLANDER,40.59406298000005,-73.96086869299995,K,61,0.0
16876,192128340,2019-01-10,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601501,F,18-24,M,WHITE HISPANIC,40.82867545800008,-73.94398971599998,M,30,0.0
16881,195718074,2019-04-08,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601501,F,<18,M,BLACK,40.71356226900008,-73.79650183499996,Q,107,0.0
16908,192157487,2019-01-10,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,18-24,M,BLACK,40.60994542000003,-74.00545784599996,K,62,0.0
16952,195846993,2019-04-10,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,25-44,F,WHITE,40.78720134600008,-73.96980479499996,M,24,0.0
16954,197212423,2019-05-15,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,18-24,F,BLACK,40.70744736400008,-73.79214176799996,Q,103,0.0
16999,193969360,2019-02-25,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,BLACK,40.67111083400005,-73.91356336299998,K,73,0.0
17044,199271618,2019-07-03,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601502,F,<18,M,BLACK,40.62851560000007,-73.94138369799998,K,63,0.0
17059,203940468,2019-10-19,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102A,F,18-24,M,BLACK,40.66508188200004,-73.92739468699995,K,67,0.0
17070,194901343,2019-03-19,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,<18,M,BLACK,40.87790568700007,-73.84792257099997,B,47,0.0
17116,191762642,2019-01-02,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,18-24,M,BLACK,40.60262955000008,-73.74956332799997,Q,101,0.0
17123,192044591,2019-01-08,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,18-24,M,BLACK,40.677728098000046,-73.92472024599994,K,81,0.0
17156,199217911,2019-07-02,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,<18,M,BLACK HISPANIC,40.79450122500003,-73.94463604699996,M,23,2.0
17165,204990266,2019-11-11,"ROBBERY,CAR JACKING",ROBBERY,PL 1601003,F,25-44,M,BLACK,40.65163996100006,-73.83790790099994,Q,106,0.0
17171,200989524,2019-08-11,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,18-24,M,BLACK,40.85580274300003,-73.84390995399997,B,49,0.0
17189,191837853,2019-01-03,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,<18,M,BLACK,40.88733281800006,-73.84725001299995,B,47,0.0
17198,193137258,2019-02-04,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601502,F,45-64,M,BLACK,40.68874336800008,-73.94498708099997,K,79,0.0
17212,204295302,2019-10-28,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601502,F,18-24,F,WHITE HISPANIC,40.86225524200006,-73.92629731299996,M,34,0.0
17220,197009733,2019-05-09,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,<18,M,BLACK HISPANIC,40.83718566500005,-73.90798097499999,B,44,0.0
17225,192025382,2019-01-08,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,BLACK HISPANIC,40.84413994500005,-73.90038861799997,B,48,0.0
17231,205051591,2019-11-12,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,<18,F,BLACK,40.70613201200007,-73.92213817199996,K,83,0.0
17233,193529385,2019-02-13,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,45-64,M,BLACK,40.83135875900007,-73.89227359399996,B,42,0.0
17238,196599188,2019-04-30,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601501,F,45-64,M,WHITE HISPANIC,40.85580274300003,-73.84390995399997,B,49,0.0
17281,202504155,2019-09-17,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601502,F,45-64,M,BLACK,40.66109683900004,-73.91970373499998,K,67,0.0
17318,200816234,2019-08-07,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,BLACK,40.68874336800008,-73.94498708099997,K,79,0.0
17341,200452600,2019-07-30,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601504,F,18-24,M,BLACK HISPANIC,40.85358740100003,-73.90059135599995,B,46,0.0
17367,202366413,2019-09-13,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,WHITE HISPANIC,40.863794676000055,-73.90027602599997,B,52,0.0
17386,203345138,2019-10-07,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601502,F,25-44,M,WHITE HISPANIC,40.60458359300003,-73.74944435799995,Q,101,0.0
17432,192702339,2019-01-24,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,WHITE HISPANIC,40.84413994500005,-73.90038861799997,B,48,0.0
17446,192043201,2019-01-08,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,18-24,M,BLACK HISPANIC,40.88733281800006,-73.84725001299995,B,47,0.0
17502,191931355,2019-01-06,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601502,F,45-64,M,BLACK,40.73388303300004,-74.00542831099995,M,6,0.0
17564,192343474,2019-01-15,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,45-64,M,BLACK,40.798293080000064,-73.94186988299998,M,25,0.0
17574,194221443,2019-03-03,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,<18,M,WHITE HISPANIC,40.62572501600005,-73.99104937999994,K,66,0.0
17583,193415384,2019-02-11,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,18-24,M,BLACK,40.876454642000056,-73.88693559699993,B,52,0.0
17633,204218757,2019-10-25,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,18-24,M,BLACK,40.62851560000007,-73.94138369799998,K,63,0.0
17657,193061294,2019-02-01,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,18-24,M,WHITE HISPANIC,40.756594678000056,-73.87560301799994,Q,115,0.0
17658,192286094,2019-01-14,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,18-24,M,BLACK,40.68592396700007,-73.92059689799999,K,81,0.0
17709,198498024,2019-06-15,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601502,F,18-24,M,WHITE,40.63228036900006,-74.02298726199996,K,68,0.0
17720,204476498,2019-11-05,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,WHITE,40.64581598600006,-74.01678665699995,K,72,0.0
17780,192420194,2019-01-17,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,18-24,M,BLACK,40.82229848500003,-73.91169413099993,B,42,0.0
17865,193365110,2019-02-09,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,18-24,F,BLACK,40.64463182300005,-73.90311158999998,K,69,0.0
17908,194278008,2019-03-05,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102A,F,25-44,F,BLACK,40.60274595100003,-73.75007786499998,Q,101,0.0
17916,193538294,2019-02-13,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601501,F,25-44,M,BLACK,40.74744269900003,-73.82609343899998,Q,109,0.0
17930,191903084,2019-01-05,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,WHITE,40.63055448600005,-73.98017218099994,K,66,0.0
17951,202836402,2019-09-24,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,25-44,M,WHITE HISPANIC,40.68874336800008,-73.94498708099997,K,79,0.0
17980,198128550,2019-06-06,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601503,F,25-44,M,WHITE HISPANIC,40.84078385800007,-73.93625260699997,M,33,0.0
18011,199403321,2019-07-07,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102A,F,18-24,M,WHITE HISPANIC,40.79863330000006,-73.94162037099994,M,25,0.0
18022,191759455,2019-01-02,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,25-44,M,WHITE HISPANIC,40.81608766100004,-73.89582435399996,B,41,0.0
18025,192097792,2019-01-09,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601504,F,<18,M,BLACK,40.68874336800008,-73.94498708099997,K,79,0.0
18082,192469727,2019-01-18,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,45-64,F,BLACK,40.64846527500004,-73.96240798599996,K,70,0.0
18103,192936200,2019-01-30,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601002,F,25-44,M,WHITE HISPANIC,40.70451983100003,-73.89347040299998,Q,104,0.0
18123,200245679,2019-07-25,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102B,F,18-24,M,BLACK,40.67141166300007,-73.88151172399995,K,75,0.0
18125,197346724,2019-05-18,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601502,F,25-44,M,BLACK,40.67459999000005,-73.93057482199998,K,77,0.0
18128,194285454,2019-03-05,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601502,F,18-24,M,BLACK,40.83778161800007,-73.91945797099999,B,44,0.0
